Title name,Print-ISSN,E-ISSN,Date of acceptance,Publisher
Ilmu Kelautan: Indonesian Journal of Marine Sciences,24067598,,Oct-2020,Diponegoro University
AAS Open Research,,25159321,Oct-2020,F1000Research Ltd
Canterbury Law Review,01120581,,Oct-2020,The Canterbury Law Review Trust Board
International Development Policy,16639383,16639391,Oct-2020,Brill:  Martinus Nijhoff
Argumenta,,24652334,Oct-2020,"UNISS, University of Sassari"
Logeion,22412417,22412425,Oct-2020,Crete University Press
Belitung Nursing Journal,,24774073,Oct-2020,Belitung Raya Publisher - Belitung Raya Foundation
Visual History,24215627,25323504,Oct-2020,Fabrizio Serra Editore
Rivista Italiana di Storia Internazionale,26118602,26120992,Oct-2020,Societa Editrice il Mulino
Journal of Organizational Behavior Education,16497627,20479999,Oct-2020,NeilsonJournals Publishing
Rivista di Archeologia,03920895,22844546,Sep-2020,Giorgio Bretschneider Editore
Tropics,0917415X,18825729,Sep-2020,The Japan Society of Tropical Ecology
Political Economy of Communication,,23571705,Aug-2020,International Association for Media and Communication Research
Journal of Psychosocial Rehabilitation and Mental Health,21989834,2198963X,Aug-2020,Springer
Rivista di Psicolinguistica Applicata,15921328,17240646,Aug-2020,Fabrizio Serra Editore
Polish American Studies,00322806,23300833,Aug-2020,University of Illinois Press
Nottingham Medieval Studies,00782122,25070444,Aug-2020,Brepols Publishers
Chronic Diseases and Translational Medicine,2095882X,25890514,Aug-2020,Elsevier:  Partnership Publishing
Strata,20427867,26334216,Aug-2020,Anglo-Israel Archaeological Society
Egyptian Journal of Hospital Medicine,16872002,20907125,Aug-2020,Cairo Ain Shams university
Coal Science and Technology,02532336,,Aug-2020,China Coal Research Institute
Journal of Linguistic and Intercultural Education,20656599,,Aug-2020,Aeternitas Publishing House
Proceedings of International Structural Engineering and Construction,,2644108X,Aug-2020,ISEC Press
Forensic Anthropology,25735020,25735039,Aug-2020,University of Florida Press
Current Obesity Reports,,21624968,Aug-2020,Springer
Seminaire Lotharingien de Combinatoire,,12864889,Aug-2020,Universitaet Wien
Psychiatry (Moscow),16838319,26186667,Aug-2020,LLC «Publisher «MIA»
Materials Research Proceedings,24743941,2474395X,Aug-2020,Materials Research Forum LLC
GLOCAL Conference Proceedings,,27078647,Aug-2020,Global Council on Anthropological Linguistics
Canadian Ethnic Studies,00083496,19138253,Aug-2020,Canadian Ethnic Studies Association
Adults Learning Mathematics International Journal,,17441803,Aug-2020,Adults Learning Mathematics
Actes (IFSTTAR),2115418X,,Jul-2020,Driving Simulation Association
Romance Languages and Linguistic Theory,1574552X,,Jul-2020,Universitat Autonoma de Barcelona
Journal of Chemical Metrology,13076183,,Jul-2020,ACG PUBLICATIONS
Ars Interpretandi,17228352,27049019,Jul-2020,Carocci Editore
International Journal of Applied Science and Engineering Research,,22779442,Jun-2020,Roman Science Publications and Distributions
CIRED Conference Proceedings,,20329644,Jun-2020,AIM
International Journal of Engineering  Transactions C: Aspects,24237167,,Jun-2020,Material and Energy Research Center
Gouvernement et Action Publique,22600965,2262340X,Jun-2020,Presses de Sciences Po
Journal of Library Science in China,10018867,,Jun-2020,Library Society of China
Investigaciones Sobre Lectura,,23408685,Jun-2020,Asociación Española de Comprensión Lectora
Interdisciplinary Political Studies,,20398573,Jun-2020,University of Salento
Bible and Critical Theory,18323391,,Jun-2020,University of Auckland
Kronos,18971555,18999484,May-2020,Fundacja Augusta hr. Cieszkowskiego
Advances in Polar Science,16749928,,May-2020,Editorial Office of Advances in Polar Science
Revista Electronica de Linguistica Aplicada,,18859089,May-2020,Asociación Española de Lingüística Aplicada AESLA
Nordic Wittgenstein Review,21946825,2242248X,May-2020,Nordic Wittgenstein Society
Rossijskij Psihiatriceskij Zurnal,1560957X,,May-2020,V. Serbsky National Medical Research Centre for Psychiatry and Narcology
Perm University Herald - History,22193111,,May-2020,Permskii Gosudarstvennyi Natsional'nyi Issledovatel'skii Universitet
Big Data Mining and Analytics,20960654,,May-2020,IEEE Institute of Electrical and Electronics Engineers
Via Inveniendi et Iudicandi,,19090528,Apr-2020,Universidad Santo Tomas
University of Pennsylvania Journal of Constitutional Law,15212823,19428561,Apr-2020,"Joe Christensen, Inc."
Journal of Health Economics and Outcomes Research,,23272236,Apr-2020,Columbia Data Analytics
International Conference on Embedded Wireless Systems and Networks,,25622331,Apr-2020,Junction Publishing
International Research Symposium on PBL,,24463833,Apr-2020,Aalborg University Press
Research in Management Education and Development,15373932,26890895,Apr-2020,Information Age Publishing
Proceedings of the Asian Technology Conference in Mathematics,,19404204,Apr-2020,"Mathematics and Technology, LLC"
Arid Zone Research,10014675,,Apr-2020,Science Press (China)
Petroleum Geology and Experiment,10016112,,Mar-2020,Editorial Board of Petroleum Geology and Experiment
Journal of the Japan Institute of Energy,,18826121,Mar-2020,The Japan Institute of Energy
Proceedings of International Conference on Computational Thinking Education,,26645661,Mar-2020,The Education University of Hong Kong
"Art, Science, and Engineering of Programming",,24737321,Mar-2020,AOSA
RiMe,,2035794X,Mar-2020,Istituto di Storia dell'Europa Mediterranea
International Workshop on Visual Analytics,,26644487,Mar-2020,Eurographics Association
South African Law Journal,02582503,19962177,Mar-2020,Juta & Company (Pty) Ltd
Proceedings of the European Wave and Tidal Energy Conference,27066932,27066940,Mar-2020,European Wave and Tidal Energy Conference Series
Proceedings of the International Conference on Natural Hazards and Infrastructure,26234513,,Feb-2020,National Technical University of Athens
ImmunoHorizons,,25737732,Jan-2020,American Association of Immunologists
International Conference on Higher Education Advances,,26035871,Jan-2020,Editorial Universitat Politècnica de València
Public Administration Quarterly,07349149,23274433,Jan-2020,Southern Public Administration Education Foundation
Proceedings of the International Symposium on Radiative Transfer,,26425629,Dec-2019,Begell House
Proceedings of the International Congress on Acoustics,22267808,24151599,Dec-2019,International Commission for Acoustics (ICA)
International Conference on Construction in the 21st Century,,26401177,Dec-2019,East Carolina University
Global Cardiology Science and Practice,,23057823,Dec-2019,Magdi Yacoub Institute
Scripta Instituti Donneriani Aboensis,05823226,23434937,Dec-2019,the Donner Institute for Research in Religious and Cultural History
Journal of Medical Robotics Research,2424905X,,Dec-2019,World Scientific Publishing
Scholarship of Teaching and Learning in Psychology,23322101,2332211X,Nov-2019,APA American Psychological Association
Acta Polytechnica CTU Proceedings,,23365382,Nov-2019,Czech Technical University in Prague
Proceedings of the International Conference on Mine Closure,22088288,22088296,Nov-2019,Australian Centre for Geomechanics
Chinese Journal of Disease Control and Prevention,16743679,,Oct-2019,Anhui Medical University
Lodzkie Studia Etnograficzne,00760382,24505544,Oct-2019,Polskie Towarzystwo Ludoznawcze / Polish Ethnological Society
International Symposium on Graphic Engineering and Design,,26201437,Oct-2019,"University of Novi Sad, Faculty of Technical Sciences, Department of Graphic Engineering and Design"
Frontiers in Neurosurgery,24057401,2405741X,Oct-2019,Bentham Science Publishers
"Man, Building and Urban Planning",23367687,23367695,Oct-2019,"Czech Technical University in Prague, Faculty of Civil Engineering"
Aestimatio,21730164,21731926,Oct-2019,IEB (Instituto de Estudios Bursátiles)
eLearning and Software for Education Conference,20668821,20668821,Sep-2019,"""CAROL I"" National Defence University Publishing House"
Proceedings of the International Conference of Architectural Science Association,,22093850,Sep-2019,Architectural Science Association
Nafta - Gaz: Miesiecznik Poswiecony Nauce i Technice w Przemysle Naftowym i Gazowniczym,08678871,,Sep-2019,INST OIL & GAS
Anti-Obesity Drug Discovery and Development,24679615,22102698,Sep-2019,Bentham Science Publishers
German Law Journal,,20718322,Aug-2019,Cambridge University Press
International Conference on Quality Engineering and Management,,21843481,Aug-2019,Universidade do Minho
Proceedings of the Thermal and Fluids Engineering Summer Conference,,23791748,Aug-2019,Begell House
Stuttgarter Symposium fuer Produktentwicklung,23644885,,Aug-2019,Fraunhofer Verlag
Annales Instituti Archaeologici,,18486363,Aug-2019,Institut za Arheologiju
Statistica,0390590X,19732201,Jun-2019,"Deparment of Statistical Sciences 'P. Fortunati', University of Bologna"
EPiC Series in Computing,,23987340,May-2019,EasyChair
Loggia: Arquitectura y Restauracion,1136758X,24441619,May-2019,Universitat Politecnica de Valencia
Studi Kantiani,11234938,17241812,Apr-2019,Fabrizio Serra Editore
Famous Planet Earth Caves,24057207,24057215,Apr-2019,Bentham Science Publishers
Cuadernos de Derecho Local,16960955,,Apr-2019,Fundación Democracia y Gobierno Local
World Construction Symposium,23620935,,Mar-2019,Ceylon Institute of Builders
Applications of NMR Spectroscopy,24054674,24054682,Mar-2019,Bentham Science Publishers
Parthica,11286342,17241928,Mar-2019,Fabrizio Serra Editore
Seicento e Settecento,18282148,19718330,Mar-2019,Fabrizio Serra Editore
Boletin del Museo del Prado,02108143,,Mar-2019,Museo Nacional del Prado
International Journal of Environmental Sciences  ,22297359,,Mar-2019,Academic Science Publications & Distributions
InterCarto. InterGIS,24149179,24149209,Mar-2019,Lomonosov Moscow State University
